,age,inheritance,payment,principal,coupon,prob_survival,prob_dying,prob_death,TIPS,annuity_payment,annuity_cost,discount,annuity_purchase,annuity_benefit,total_cost,tips_cost,annuity_cost2
0,66,26345.104973908656,1000.0,814.3473367946443,0.0,0.9910294812488148,0.00897051875118515,0.00897051875118515,0.0,1000.0,966.8580304866487,0.9756097560975611,0.0,0.0,27763.09080004497,26345.104973908656,1417.9858261363145
1,67,25530.757637114013,1000.0,814.3473367946443,0.0,0.981305466998287,0.009812033279044789,0.009724014250527864,0.0,1030.0,962.0412906681602,0.9518143961927426,0.0,0.0,26997.349195982897,25530.757637114013,1466.5915588688854
2,68,24716.41030031937,1000.0,814.3473367946443,0.0,0.9707740368322929,0.010732061035193,0.010531430165994187,0.0,1060.9,956.3591248418379,0.928599410919749,0.0,0.0,26234.562811118605,24716.41030031937,1518.1525107992347
3,69,23902.062963524728,1000.0,814.3473367946443,0.0,0.9593792436475814,0.0117378429504497,0.011394793184711526,0.0,1092.727,949.7439391015821,0.9059506447997552,0.0,0.0,25475.050687353683,23902.062963524728,1572.987723828957
4,70,23087.715626730085,1000.0,814.3473367946443,0.0,0.9470634321836584,0.012837271126586102,0.01231581146392311,0.0,1125.50881,942.1252421601349,0.8838542876095173,0.0,0.0,24719.1778914982,23087.715626730085,1631.4622647681138
5,71,22273.368289935443,1000.0,814.3473367946443,2.035868341986611,0.9337676615987204,0.0140389441014334,0.013295770584938041,0.0025,1159.2740743000002,933.4300122003577,0.8622968659605048,0.0,0.0,23967.3633856536,22273.368289935443,1693.9950957181577
6,72,21459.0209531408,1000.0,816.383205136631,4.081916025683155,0.9194322492937823,0.015352226141987203,0.014335412304938136,0.005,1194.0522965290002,923.5831971437076,0.8412652350834194,0.0,0.0,23220.08946870065,21459.0209531408,1761.0685155598503
7,73,20642.63774800417,1000.0,820.4651211623141,4.786046540113499,0.9039974544388125,0.016787310720094102,0.015434794854969744,0.005833333333333334,1229.8738654248702,912.5083713253856,0.8207465708130922,0.0,0.0,22475.877284388014,20642.63774800417,1833.2395363838427
8,74,19822.172626841857,1000.0,825.2511677024276,5.501674451349516,0.8874043205419794,0.0183552882979454,0.016593133896833163,0.006666666666666666,1266.7700813876163,900.1285732763729,0.8007283617688705,0.0,0.0,21733.3262818762,19822.172626841857,1911.1536550343437
9,75,18996.92145913943,1000.0,830.7528421537769,6.230646316153327,0.8695956967278421,0.0200682185131358,0.017808623814137246,0.0075,1304.7731838292448,886.3673505066184,0.7811984017257274,0.0,0.0,20992.483064125463,18996.92145913943,1995.5616049860316
10,76,18166.168616985655,1000.0,836.9834884699304,6.402923686794967,0.8505174569020882,0.0219392068032793,0.019078239825753875,0.00765,1343.916379344122,871.1500375777409,0.7621447821714414,0.0,0.0,20253.508454057875,18166.168616985655,2087.3398370722207
11,77,17329.185128515725,1000.0,843.3864121567253,6.5784140148224575,0.8301199343707872,0.023982485445503497,0.02039752253130098,0.0078,1384.2338707244458,854.405292990345,0.7435558850453088,0.0,0.0,19516.70082067035,17329.185128515725,2187.515692154625
12,78,16485.798716359,1000.0,849.9648261715479,6.7572203680638045,0.8083595863813523,0.026213498903539502,0.021760347989434915,0.007949999999999999,1425.7608868461791,836.0669180514586,0.7254203756539599,0.0,0.0,18783.09722895992,16485.798716359,2297.2985126009185
13,79,15635.833890187454,1000.0,856.7220465396116,6.939448576970854,0.7852008980305233,0.028648993271051092,0.023158688350829005,0.0081,1468.5337134515646,816.0759764081129,0.7077271957599609,0.0,0.0,18053.952207461898,15635.833890187454,2418.118317274444
14,80,14779.111843647843,1000.0,863.6614951165824,7.1252073347118055,0.7606185275597626,0.031307109470225206,0.02458237047076073,0.00825,1512.5897248551116,794.3832257297989,0.6904655568389864,0.0,0.0,17330.786015019694,14779.111843647843,2551.674171371852
15,81,13915.45034853126,1000.0,870.7867024512942,7.314608300590871,0.7345996847151756,0.0342074797047889,0.026018842844586994,0.0084,1557.967416600765,770.9518624268846,0.6736249335014501,0.0,0.0,16615.445415312188,13915.45034853126,2699.9950667809267
16,82,13044.663646079965,1000.0,878.1013107518851,7.507766206928617,0.7071467200720587,0.03737132647118009,0.02745296464311679,0.008549999999999999,1604.706439098788,745.7605656029681,0.6571950570745856,0.0,0.0,15910.180706208488,13044.663646079965,2865.517060128522
17,83,12166.56233532808,1000.0,885.6090769588138,7.70479896954168,0.6782798855508074,0.0408215631945655,0.028866834521251265,0.0087,1652.8476322717518,718.8068069781243,0.6411659093410592,0.0,0.0,15217.744029163008,12166.56233532808,3051.1816938349284
18,84,11280.953258369267,1000.0,893.3138759283554,7.905827801965946,0.6480402044488621,0.0445828952710116,0.03023968110194538,0.00885,1702.4330612399044,690.1103687161018,0.6255277164303017,0.0,0.0,14541.515752452102,11280.953258369267,3260.562494082834
19,85,10387.639382440912,1000.0,901.2197037303215,8.110977333572892,0.6164923630876389,0.04868191995595969,0.03154784136122326,0.009,1753.5060530771016,659.7169806000501,0.610270942858831,0.0,0.0,13885.66819089825,10387.639382440912,3498.0288084573394
20,86,9486.41967871059,1000.0,909.3306810638942,8.274909197681437,0.583727505906122,0.053147223134148006,0.032764857181516935,0.009099999999999999,1806.1112346694147,627.701951880502,0.5953862857159328,0.0,0.0,13255.379402994171,9486.41967871059,3768.959724283581
21,87,8577.088997646695,1000.0,917.6055902615756,8.441971430406495,0.549865782355499,0.0580094705286491,0.03386172355062302,0.0092,1860.2945717094972,594.173632021637,0.580864668991154,0.0,0.0,12657.114754320373,8577.088997646695,4080.0257566736773
