,age,inheritance,payment,principal,coupon,prob_survival,prob_dying,prob_death,TIPS,annuity_payment,annuity_cost,discount,annuity_purchase,annuity_benefit,total_cost,tips_cost,annuity_cost2,,,Age,Inheritance,Payment,Principal,Coupon,Prob survival,Prob of dying,Prob death,TIPS,Payment,Cost,Discount,Purchase,Benefit,Total Cost,TIPS Cost,Annuity Cost,,Age,Inheritance,Payment,Principal,Coupon,Prob survival,Prob of dying,Prob death,TIPS,Payment,Cost,Discount,Purchase,Benefit,Total Cost,TIPS Cost,Annuity Cost
12,78,16485.79872,1000,849.9648262,6.757220368,0.808359586,0.026213499,0.021760348,0.00795,1425.760887,836.0669181,0.725420376,0,0,18783.09723,16485.79872,2297.298513,,12,78,"$16,486","$1,000",$849.96482617,$6.75722037,80.84%,2.621349890354%,2.18%,0.795000%,"$1,426",$836,72.5%,$0,$0,"$18,783","$16,486","$2,297",, -   , -   , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , -   , 0 , -   , 0 
13,79,15635.83389,1000,856.7220465,6.939448577,0.785200898,0.028648993,0.023158688,0.0081,1468.533713,816.0759764,0.707727196,0,0,18053.95221,15635.83389,2418.118317,,13,79,"$15,636","$1,000",$856.72204654,$6.93944858,78.52%,2.864899327105%,2.32%,0.810000%,"$1,469",$816,70.8%,$0,$0,"$18,054","$15,636","$2,418",, -   , 0 , -   , 0 , 0 , 0 , 0 , (0), -   , 0 , 0 , 0 , -   , -   , 0 , 0 , 0 
14,80,14779.11184,1000,863.6614951,7.125207335,0.760618528,0.031307109,0.02458237,0.00825,1512.589725,794.3832257,0.690465557,0,0,17330.78602,14779.11184,2551.674171,,14,80,"$14,779","$1,000",$863.66149512,$7.12520733,76.06%,3.130710947023%,2.46%,0.825000%,"$1,513",$794,69.0%,$0,$0,"$17,331","$14,779","$2,552",, -   , 0 , -   , 0 , 0 , 0 , (0), 0 , (0), 0 , 0 , 0 , -   , -   , 0 , 0 , 0 
15,81,13915.45035,1000,870.7867025,7.314608301,0.734599685,0.03420748,0.026018843,0.0084,1557.967417,770.9518624,0.673624934,0,0,16615.44542,13915.45035,2699.995067,,15,81,"$13,915","$1,000",$870.78670245,$7.31460830,73.46%,3.420747970479%,2.60%,0.840000%,"$1,558",$771,67.4%,$0,$0,"$16,615","$13,915","$2,700",, -   , 0 , -   , 0 , 0 , 0 , (0), 0 , -   , 0 , 0 , 0 , -   , -   , 0 , 0 , 0 
16,82,13044.66365,1000,878.1013108,7.507766207,0.70714672,0.037371326,0.027452965,0.00855,1604.706439,745.7605656,0.657195057,0,0,15910.18071,13044.66365,2865.51706,,16,82,"$13,045","$1,000",$878.10131075,$7.50776621,70.71%,3.737132647118%,2.75%,0.855000%,"$1,605",$746,65.7%,$0,$0,"$15,910","$13,045","$2,866",, -   , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , -   , 0 , 0 , 0 
17,83,12166.56234,1000,885.609077,7.70479897,0.678279886,0.040821563,0.028866835,0.0087,1652.847632,718.806807,0.641165909,0,0,15217.74403,12166.56234,3051.181694,,17,83,"$12,167","$1,000",$885.60907696,$7.70479897,67.83%,4.082156319457%,2.89%,0.870000%,"$1,653",$719,64.1%,$0,$0,"$15,218","$12,167","$3,051",, -   , 0 , -   , 0 , -   , 0 , 0 , 0 , -   , 0 , 0 , 0 , -   , -   , 0 , 0 , 0 
18,84,11280.95326,1000,893.3138759,7.905827802,0.648040204,0.044582895,0.030239681,0.00885,1702.433061,690.1103687,0.625527716,0,0,14541.51575,11280.95326,3260.562494,,18,84,"$11,281","$1,000",$893.31387593,$7.90582780,64.80%,4.458289527101%,3.02%,0.885000%,"$1,702",$690,62.6%,$0,$0,"$14,542","$11,281","$3,261",, -   , 0 , -   , 0 , 0 , 0 , (0), 0 , -   , 0 , 0 , 0 , -   , -   , 0 , 0 , 0 
19,85,10387.63938,1000,901.2197037,8.110977334,0.616492363,0.04868192,0.031547841,0.009,1753.506053,659.7169806,0.610270943,0,0,13885.66819,10387.63938,3498.028808,,19,85,"$10,388","$1,000",$901.21970373,$8.11097733,61.65%,4.868191995596%,3.15%,0.900000%,"$1,754",$660,61.0%,$0,$0,"$13,886","$10,388","$3,498",, -   , 0 , -   , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , -   , -   , -   , 0 , 0 , 0 
20,86,9486.419679,1000,909.3306811,8.274909198,0.583727506,0.053147223,0.032764857,0.0091,1806.111235,627.7019519,0.595386286,0,0,13255.3794,9486.419679,3768.959724,,20,86,"$9,486","$1,000",$909.33068106,$8.27490920,58.37%,5.31%,3.28%,0.910000%,"$1,806",$628,59.5%,$0,$0,"$13,255","$9,486","$3,769",, -   , -   , -   , 0 , 0 , -   , (0), 0 , 0 , 0 , -   , 0 , -   , -   , 0 , -   , 0 
21,87,8577.088998,1000,917.6055903,8.44197143,0.549865782,0.058009471,0.033861724,0.0092,1860.294572,594.173632,0.580864669,0,0,12657.11475,8577.088998,4080.025757,,21,87,"$8,577","$1,000",$917.60559026,$8.44197143,54.99%,5.80%,3.39%,0.920000%,"$1,860",$594,58.1%,$0,$0,"$12,657","$8,577","$4,080",, -   , 0 , -   , 0 , 0 , -   , 0 , 0 , -   , 0 , -   , -   , -   , -   , 0 , 0 , 0 
